RunID,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20260104-000215,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000273,81920,0.002904,0.203,0.903,3,constant,false,32,3,simple,,,5,100000,128,12000
20260104-000255,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000222,81920,0.008801,0.238,0.913,3,constant,false,32,2,simple,,,5,2000000,512,12000
20260104-000507,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,4096,0.000269,163840,0.001831,0.22,0.944,3,constant,false,512,3,simple,,,5,500000,2048,12000
20260104-001008,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000222,163840,0.007838,0.175,0.936,3,constant,true,512,1,simple,,,5,1000000,64,12000
20260104-001339,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000048,20480,0.007142,0.237,0.937,5,linear,true,512,3,simple,,,5,250000,64,12000
20260104-001552,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000248,81920,0.002513,0.257,0.939,5,constant,true,128,3,simple,,,5,100000,512,12000
20260104-001639,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000148,81920,0.003868,0.112,0.925,8,linear,true,64,2,simple,,,5,500000,1024,12000
20260104-001816,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000257,81920,0.003998,0.223,0.93,8,linear,true,128,2,simple,,,5,500000,64,12000
20260104-002048,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.00013,20480,0.003631,0.123,0.91,4,linear,false,256,3,simple,,,5,500000,1024,12000
20260104-002347,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000228,20480,0.005732,0.191,0.921,3,constant,true,64,2,simple,,,5,250000,128,12000
20260104-002406,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.00025,20480,0.007255,0.229,0.945,5,constant,true,512,3,simple,,,5,250000,256,12000
20260104-002549,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000114,81920,0.000134,0.155,0.916,10,constant,true,64,3,simple,,,5,1000000,512,12000
20260104-002614,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000018,40960,0.002148,0.138,0.919,5,constant,true,32,3,simple,,,5,1000000,1024,12000
20260104-003316,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.00021,163840,0.00649,0.112,0.936,10,linear,true,32,1,simple,,,5,250000,512,12000
20260104-003516,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000078,327680,0.009863,0.206,0.94,8,linear,false,512,3,simple,,,5,500000,128,12000
20260104-003745,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000163,40960,0.007087,0.288,0.919,10,linear,false,512,1,simple,,,5,250000,256,12000
20260104-003957,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000235,10240,0.003029,0.145,0.903,10,constant,false,512,1,simple,,,5,100000,512,12000
20260104-004056,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000198,163840,0.006962,0.243,0.923,5,constant,true,64,2,simple,,,5,250000,256,12000
20260104-004101,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000216,81920,0.009192,0.108,0.909,10,constant,false,512,1,simple,,,5,1000000,64,12000
20260104-004236,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000167,10240,0.008978,0.17,0.926,4,linear,true,32,3,simple,,,5,1000000,512,12000
20260104-004820,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000277,10240,0.005349,0.2,0.911,8,linear,false,256,3,simple,,,5,500000,256,12000
20260104-005230,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000239,10240,0.002381,0.185,0.92,3,linear,false,256,2,simple,,,5,2000000,1024,12000
20260104-005307,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000039,40960,0.001517,0.252,0.91,8,constant,true,128,2,simple,,,5,500000,128,12000
20260104-005840,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000184,20480,0.006523,0.166,0.924,4,constant,true,32,2,simple,,,5,1000000,1024,12000
20260104-010258,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000066,20480,0.00475,0.181,0.912,10,constant,true,128,2,simple,,,5,500000,128,12000
20260104-010631,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000086,40960,0.003848,0.169,0.909,4,constant,false,512,2,simple,,,5,2000000,128,12000
20260104-010721,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000269,163840,0.00307,0.245,0.906,3,constant,false,32,1,simple,,,5,100000,512,12000
20260104-010755,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000047,20480,0.001834,0.248,0.924,8,linear,false,128,2,simple,,,5,100000,512,12000
20260104-010846,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000286,81920,0.001024,0.277,0.916,4,constant,false,128,1,simple,,,5,500000,64,12000
20260104-011157,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000023,10240,0.003142,0.293,0.929,3,linear,false,512,1,simple,,,5,100000,128,12000
20260104-011238,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000055,81920,0.002291,0.278,0.945,10,constant,false,512,3,simple,,,5,1000000,512,12000
20260104-012405,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000055,163840,0.00984,0.185,0.945,3,constant,true,64,3,simple,,,5,1000000,512,12000
20260104-012449,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000285,81920,0.005825,0.194,0.912,5,linear,false,256,1,simple,,,5,100000,1024,12000
20260104-012533,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000198,40960,0.000893,0.242,0.901,4,constant,true,32,2,simple,,,5,500000,512,12000
20260104-012840,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000217,81920,0.004132,0.196,0.945,10,linear,false,128,3,simple,,,5,250000,512,12000
20260104-013105,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000106,81920,0.00515,0.104,0.942,8,linear,false,512,1,simple,,,5,100000,128,12000
20260104-013157,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.00021,40960,0.004909,0.241,0.948,4,constant,false,128,3,simple,,,5,100000,1024,12000
20260104-013217,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000192,163840,0.008425,0.289,0.905,10,constant,false,32,3,simple,,,5,100000,512,12000
20260104-013240,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.00013,20480,0.0081,0.213,0.906,8,linear,true,64,3,simple,,,5,1000000,1024,12000
20260104-013301,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000213,163840,0.002123,0.187,0.914,3,constant,false,64,3,simple,,,5,500000,256,12000
20260104-013707,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000045,20480,0.002693,0.129,0.944,4,constant,false,128,1,simple,,,5,100000,64,12000
20260104-013803,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000061,40960,0.008309,0.173,0.929,5,linear,false,32,1,simple,,,5,1000000,512,12000
20260104-014002,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000129,10240,0.004124,0.159,0.936,4,constant,true,32,3,simple,,,5,250000,2048,12000
20260104-014139,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.00027,20480,0.007774,0.288,0.921,3,linear,true,32,3,simple,,,5,250000,1024,12000
20260104-014314,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000047,40960,0.000755,0.158,0.949,4,linear,false,64,2,simple,,,5,500000,256,12000
20260104-014627,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,4096,0.000074,327680,0.007987,0.215,0.926,4,linear,false,256,2,simple,,,5,250000,1024,12000
20260104-014656,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,512,0.000268,20480,0.004859,0.139,0.914,5,constant,true,64,1,simple,,,5,500000,1024,12000
20260104-014743,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000058,81920,0.002815,0.204,0.949,8,linear,false,64,2,simple,,,5,2000000,64,12000
20260104-015119,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,4096,0.000096,163840,0.000815,0.235,0.945,4,constant,false,128,2,simple,,,5,250000,256,12000
