RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id
20251226-235552,100.0000152588,100.0000152588,160.9672088623,703.3992919922,0.0182494277,0.0075218124,1.2996219547,1.2499197721,71.4499969482,64.7079317024,22639,22510.1114575489,3133.3332519531,3133.3332519531,0.5,0.0050200804,928,926.7048192771,18.4414157867,12.0660315106,0.0,0.0,8884
20251227-000744,1.0616215467,1.1485928297,3.6448636055,24.5953369141,,,1.4189382643,1.4189382792,68.9000015259,65.0708341599,22481,22390.3542480469,3133.3332519531,3133.3332519531,0,0,926,926,13.071811676,10.5238871574,0.0,0.0,8885
20251227-000816,81.4200057983,100.0000076294,117.0278549194,168.2036132812,0.0348483846,0.2987630899,1.3984965667,1.379424572,79.5,65.0373981755,22419,22331.6706840701,3133.3332519531,3133.3332519531,0,0,927,926.7317073171,15.435874939,10.2376202141,0.0,0.0,8886
20251227-001113,1.1532832384,1.2463796139,12.8597831726,25.0520401001,,,1.4189382643,1.4189382792,68.3000030518,64.0312495232,22575.5,22481.0419921875,3133.3332519531,3133.3332519531,0.5,0.1041666679,927,927,11.1222801208,9.0659684539,0.0,0.0,8887
20251227-001145,4.7038841248,5.0651288033,320.4778442383,343.2930908203,0.0349130103,0.0492052461,1.3967931457,1.3798629045,69.0999984741,64.4953812749,22499.666015625,22394.122482116,3133.3332519531,3133.3332519531,0,0,927,927,16.7436580658,11.3498455817,0.0,0.0,8888
20251227-001736,1.1130754948,1.138992548,22.1258220673,25.2869968414,,,1.4189382643,1.4189381599,68.25,65.3541669846,22479.666015625,22396.3957519531,3133.3332519531,3133.3332519531,0,0,927,927,13.6149578094,11.6500712037,0.0,0.0,8889
20251227-001808,1.8508598804,1.8508598804,34.261505127,34.261505127,0.0248495159,0.1536031924,1.4146965891,1.4085052013,69.6999969482,64.845831871,22359.333984375,22344.5209960938,3133.3332519531,3133.3332519531,0,0,927,927,13.7158098221,9.7143163681,0.0,0.0,8890
20251227-001850,1.9644500017,2.0805850029,154.6919403076,178.4815826416,0.0248364896,0.0475934253,1.3926704831,1.3731287718,69.1999969482,64.3109751445,22525.666015625,22440.7560022866,3133.3332519531,3133.3332519531,0.3333333433,0.0162601631,927,927,16.388174057,10.7583256931,0.0,0.0,8891
20251227-002156,94.0153961182,97.8750152588,638.3826293945,664.5751953125,0.017320916,0.3584554261,1.3423182878,1.2890059948,72.0333328247,64.8464860342,22701.5,22511.6746870294,3133.3332519531,3133.3332519531,0.5,0.0050200804,928,927.0060240964,19.0633087158,11.6602555585,0.0,0.0,8892
20251227-003309,1.1550751925,1.2457031012,9.6176757812,24.6697120667,,,1.4189382792,1.4189382792,66.6999969482,64.3666667938,22485,22395.7707519531,3133.3332519531,3133.3332519531,0,0,927,927,14.7432994843,12.1172778606,0.0,0.0,8893
20251227-003341,99.7083435059,100.0000076294,416.6019897461,878.7000732422,0.0125948471,0.1288780188,1.3395477052,1.3054769039,75.0500030518,64.7152613215,22656.5,22537.3744823042,3133.3332519531,3133.3332519531,0.5,0.0050200804,928,927.0060240964,17.4014644623,11.8416586698,0.0,0.0,8894
20251227-004827,100.0000152588,100.0000152588,77.2435379028,79.635307312,0.0248441239,0.0462944563,1.3865012765,1.3384531736,69.0500030518,64.3025003433,22410,22357.2166015625,3133.3332519531,3133.3332519531,0,0,927,927,13.7052345276,10.6930654287,0.0,0.0,8895
